PID,mods_recordInfo_recordIdentifier_s,mods_titleInfo_title_s,new_url
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9525,,"A high-resolution digital soil mapping framework for New Brunswick, Canada",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9519,,"Surface water quality assessment using a remote sensing, GIS, and mathematical modelling framework",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7630,,"A study on measuring designers' cognitive processes",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9393,,"Basis enumeration of hyperplane arrangements up to symmetries",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7033,"Thesis 9315","Development of a geospatial reference framework :",https://unbscholar.lib.unb.ca/handle/1882/13699
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6234,"Thesis 9504","A cluster multi-spacecraft study of Earth's bow shock",https://unbscholar.lib.unb.ca/handle/1882/13462
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8727,,"Continuous GPS monitoring of crustal deformation with the Western Canada Deformation Array",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8189,,"Nanocellulose materials for photoelectronic devices",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8270,,"Economic consequences of floods in Maritime provinces",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9582,,"Does enhancing relatedness amongst varsity-level athletes improve team performance?",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9377,,"Unsupervised detection of opium poppy fields in Afghanistan from E0-1 Hyperion data",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6484,"Thesis 9390","Ontology-based recommendation of academic papers",https://unbscholar.lib.unb.ca/handle/1882/14496
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7721,,"What becomes of the brokenhearted",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9619,,"Immigrant entrepreneurs' intentions and motivations",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6604,"Thesis 9421","Chemostratigraphy and hydrothermal alteration of the Flat Landing Brook Formation, Brunswick Belt, Bathurst Mining Camp",https://unbscholar.lib.unb.ca/handle/1882/14401
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6555,"Thesis 9518","High-level synthesis improvements and optimizations in Odin II",https://unbscholar.lib.unb.ca/handle/1882/13528
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9579,,"Cultivating the soul: a model of presence",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7047,"Thesis 9210","Prediction of regulatory networks for non-model organisms",https://unbscholar.lib.unb.ca/handle/1882/14459
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9430,,"The improvement of the VTR project by using carry-chains and power specification",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8452,,"GPS satellite sky distribution",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9493,,"Experimental investigation of the unsteady turbulent flow around a leading-edge slat configuration",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6542,"Thesis 9336","Diskless data analytics on distributed coordination systems",https://unbscholar.lib.unb.ca/handle/1882/14127
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8086,,"Identifying eastern hemlock (Tsuga canadensis) patches using LiDAR, in New Brunswick forests",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6230,"Thesis 9467","Atlantic Canada's poetic menagerie :",https://unbscholar.lib.unb.ca/handle/1882/13949
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:9598,,"Leisure and smartphone use among digital natives: exploring lived experiences",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:6902,,"Water vapor and gas barrier properties of cellulose-based materials",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:8251,,"Income and happiness",
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7756,,SIMULACRA,
https://unbscholar.lib.unb.ca/islandora/object/unbscholar:7034,"Thesis 9317","Modeling nitrate loading from watersheds to coastal waters of the Northumberland Strait",https://unbscholar.lib.unb.ca/handle/1882/14476
